timestamp,temperature,pressure,vibration,humidity
2024-01-01 00:00:00,22.152,101.573,-0.059,53.867
2024-01-01 00:01:00,21.48,101.479,-0.729,53.751
2024-01-01 00:02:00,22.375,101.156,-0.414,57.65
2024-01-01 00:03:00,22.47,100.999,0.634,55.661
2024-01-01 00:04:00,21.024,100.707,0.003,54.577
2024-01-01 00:05:00,21.349,101.191,0.34,55.997
2024-01-01 00:06:00,22.064,101.784,0.67,50.786
2024-01-01 00:07:00,21.842,101.387,-0.375,54.914
2024-01-01 00:08:00,21.992,101.188,0.756,58.995
2024-01-01 00:09:00,21.573,101.393,0.379,55.265
2024-01-01 00:10:00,22.44,100.988,-1.235,55.136
2024-01-01 00:11:00,22.389,101.241,1.442,56.096
2024-01-01 00:12:00,22.033,101.32,-0.501,56.791
2024-01-01 00:13:00,22.564,101.283,-1.655,51.005
2024-01-01 00:14:00,22.234,101.458,-1.045,51.635
2024-01-01 00:15:00,21.57,101.369,-1.021,55.421
2024-01-01 00:16:00,22.184,101.434,0.052,53.57
2024-01-01 00:17:00,21.521,101.162,-0.274,57.624
2024-01-01 00:18:00,22.439,101.48,-0.337,54.37
2024-01-01 00:19:00,21.975,101.626,0.62,51.131
2024-01-01 00:20:00,21.908,101.106,0.34,52.464
2024-01-01 00:21:00,21.66,101.122,0.316,49.501
2024-01-01 00:22:00,22.611,101.567,0.41,54.532
2024-01-01 00:23:00,21.923,101.262,0.616,54.623
2024-01-01 00:24:00,21.786,101.581,-2.108,54.151
2024-01-01 00:25:00,21.824,101.211,-0.364,57.158
2024-01-01 00:26:00,22.266,101.591,-2.18,57.397
2024-01-01 00:27:00,22.183,101.326,0.036,54.659
2024-01-01 00:28:00,22.206,101.352,-0.005,50.731
2024-01-01 00:29:00,22.215,101.613,1.046,56.235
2024-01-01 00:30:00,23.071,101.228,1.188,56.111
2024-01-01 00:31:00,21.797,101.112,0.203,55.619
2024-01-01 00:32:00,21.744,101.21,-0.5,56.963
2024-01-01 00:33:00,21.593,101.39,0.485,52.67
2024-01-01 00:34:00,22.308,100.987,-0.528,59.018
2024-01-01 00:35:00,22.564,101.427,-0.001,53.081
2024-01-01 00:36:00,21.943,101.192,0.986,56.498
2024-01-01 00:37:00,21.58,101.53,-0.558,51.625
2024-01-01 00:38:00,21.588,100.821,0.806,53.139
2024-01-01 00:39:00,22.325,101.143,0.677,58.033
2024-01-01 00:40:00,22.372,100.963,-0.955,54.478
2024-01-01 00:41:00,22.272,101.135,0.974,56.68
2024-01-01 00:42:00,21.667,101.35,0.699,55.474
2024-01-01 00:43:00,22.116,101.264,0.102,54.79
2024-01-01 00:44:00,22.058,101.249,-0.762,57.728
2024-01-01 00:45:00,22.109,101.268,-0.859,54.527
2024-01-01 00:46:00,22.436,101.341,-0.538,51.439
2024-01-01 00:47:00,22.112,101.098,0.543,53.394
2024-01-01 00:48:00,22.339,101.441,-0.956,56.102
2024-01-01 00:49:00,22.034,101.433,0.438,55.791
2024-01-01 00:50:00,30.814,96.736,5.44,51.866
2024-01-01 00:51:00,22.316,101.411,-0.204,53.551
2024-01-01 00:52:00,21.271,101.359,0.11,53.837
2024-01-01 00:53:00,21.84,101.707,2.445,54.269
2024-01-01 00:54:00,21.765,101.283,-1.377,52.248
2024-01-01 00:55:00,21.681,101.239,1.472,53.743
2024-01-01 00:56:00,21.862,101.149,0.15,53.543
2024-01-01 00:57:00,22.747,101.094,0.411,56.543
2024-01-01 00:58:00,21.567,101.051,0.118,56.618
2024-01-01 00:59:00,22.484,101.122,0.445,54.708
2024-01-01 01:00:00,21.159,101.286,-0.154,54.216
